[猎户] --> [Thợ săn] <<>> [猎户] --> [Liệp Hộ] | **3. 猎户 (Liệp Hộ)** (nam, tuổi trung niên, là những người săn bắn, có thể là người dân thường)
[神捕铁血冷] --> [Thần Bộ Thiết Huyết Lãnh] <<>> [神捕铁血冷] --> [Thần Bổ Thiết Huyết Lãnh] | **21. 神捕铁血冷 (Thần Bố Thiết Huyết Lãnh)** là nam, là một trong những nhân vật chính của câu chuyện, là một thần bộ, có khả năng phá án.

[狼群] --> [Đàn sói] <<>> [狼群] --> [Lang Quần] | **11. 狼群 (Bầy sói)** là một nhóm động vật hoang dã, bao gồm Sói điện, Sói điện hào, Sói điện cuồng.

[九叶生机草] --> [Cửu Diệp Sinh Cơ Thảo] <<>> [九叶生机草] --> [Cửu Diệp Sanh Ky Thảo] | **14. 九叶生机草 (Cửu Diệp Sinh Cơ Thảo)** là một loại Cổ trùng, có thể sản xuất Sinh cơ diệp.

[三步芳草蛊] --> [Cổ Tam Bộ Phương Thảo] <<>> [三步芳草蛊] --> [Tam Bộ Phương Thảo Cổ] | **15. 三步芳草蛊 (Tam Bộ Phương Thảo Cổ)** là một loại Cổ trùng, có thể chữa trị thương tích.

[水罩蛊] --> [Cổ Thủy Tráo] <<>> [水罩蛊] --> [Thủy Tráo Cổ] | **19. 水罩蛊 (Thủy Chiếu Cổ)** là một loại Cổ trùng, có thể tạo ra lớp bảo vệ bằng nước.

[炸雷蛊] --> [Cổ Nổ Lôi] <<>> [炸雷蛊] --> [Tạc Lôi Cổ] | **21. 炸雷蛊 (Chiến Lôi Cổ)** là một loại Cổ trùng, có thể phóng ra sét.

[人兽葬生蛊] --> [Nhân Thú Táng Sinh Cổ] <<>> [人兽葬生蛊] --> [Nhân Thú Táng Sanh Cổ] | **23. 人兽葬生蛊 (Nhân Thú Táng Sinh Cổ)** là một loại Cổ trùng, có thể giúp Cổ trùng sư thăng cấp lên Tam chuyển.

[天蓬蛊] --> [Cổ Thiên Bồng] <<>> [天蓬蛊] --> [Thiên Bồng Cổ] | **24. 天蓬蛊 (Thiên Phong Cổ)** là một loại Cổ trùng, có thể bảo vệ cơ thể.

[秘堂家老] --> [Gia lão Bí đường] <<>> [秘堂家老] --> [Bí Đường Gia Lão] | **42. 秘堂家老 (Bí Đường Gia lão)** là Gia lão phụ trách quản lý các bí mật của gia tộc.

[暗堂蛊师] --> [Cổ sư Ám đường] <<>> [暗堂蛊师] --> [Ám Đường Cổ Sư] | **43. 暗堂蛊师 (Ám Đường Cổ trùng sư)** là Cổ trùng sư phụ trách bảo vệ các bí mật của gia tộc.

[熊家族长] --> [Hùng gia tộc trưởng] <<>> [熊家族长] --> [Hùng Gia Tộc Trường] | **5. 熊家族长 (Hùng Gia tộc trưởng)** là nam, tuổi trung niên, là tộc trưởng của gia tộc Hùng, có vai trò quan trọng trong câu chuyện, có vẻ như có mối quan hệ hợp tác với gia tộc Bạch.

[古月一代] --> [Cổ Nguyệt Nhất Đại] <<>> [古月一代] --> [Cổ Nguyệt Nhất Đại], [天鹤上人] --> [Thiên Hạc Thượng Nhân] <<>>  [天鹤上人] --> [Thiên Hạc Thượng Nhân], [血海真传] --> [Huyết Hải chân truyền] <<>>  [血海真传] --> [Huyết Hải Chân Truyện] | **10. 古月一代 (Cổ Nguyệt nhất đại)** là nam, tuổi già, có vẻ như là tổ tiên của gia tộc Cổ Nguyệt, có vai trò quan trọng trong câu chuyện, có mối thù với天鹤上人 (Thiên Hạc thượng nhân), có thể là người sở hữu血海真传 (Huyết Hải chân truyền).

[百家族长] --> [Tộc trưởng Bách gia] <<>> [百家族长] --> [Bách Gia Tộc Trường] | **10. 百家族长 (Bách Gia Tộc Trưởng)** là nữ, tuổi trung niên, là tộc trưởng của gia tộc Bách, có năng lực Cổ sư cấp 4.

[百生] --> [Bách Sinh] <<>> [百生] --> [Bách Sanh] | **16. 百生 (Bách Sinh)** là nam, tuổi nhỏ, con trai của Bách Gia Tộc Trưởng.

[百家女族长] --> [Nữ tộc trưởng Bách gia] <<>> [百家女族长] --> [Bách Gia Nữ Tộc Trường] | **3. 百家女族长 (Bách Gia Nữ Tộc Trưởng)** là nữ, tuổi trung niên, là tộc trưởng của Bách Gia, là mẹ của Bách Sinh và Bách Hoa.

[村长] --> [Thôn trưởng] <<>> [村长] --> [Thôn Trường] | **4. 村长 (Thôn Trưởng)** là nam, tuổi trung niên, là một vị Cổ Sư một chuyển, là thôn trưởng của ngôi làng nơi Phương Nguyên và Bạch Ngưng Băng trú ngụ. Ông ta có mối quan hệ tốt với Lão Bà Bà và giúp đỡ Phương Nguyên.

[正道双星] --> [Chính đạo song tinh] <<>> [正道双星] --> [Chánh Đạo Song Tinh] | **14. 正道双星 (Chính Đạo Song Tinh)** là hai anh em, là những thiên tài Cổ Sư, có mối quan hệ với Phương Nguyên (đã được nhắc đến trước đó).

[贾龙] --> [Giả Long] <<>> [贾龙] --> [Cổ Long] | **18. 贾龙 (Giả Long)** là nam, tuổi trung niên, là thủ lĩnh của đoàn thương đội, có quyền lực trong đoàn thương đội.

[贾俑] --> [Giả Dũng] <<>> [贾俑] --> [Cổ Dũng] | **19. 贾俑 (Giả Dung)** là nam, tuổi trung niên, là một vị Cổ Sư, là thuộc hạ của Giả Long, có sức mạnh lớn.

[贾平] --> [Giả Bình] <<>> [贾平] --> [Cổ Bình] | **20. 贾平 (Giả Bình)** là nam, tuổi trẻ, là một vị Cổ Sư, là thuộc hạ của Giả Long, có sức mạnh lớn.

[金家蛊师] --> [Cổ sư Kim gia] <<>> [金家蛊师] --> [Kim Gia Cổ Sư] | **6. 金家蛊师 (Kim gia Cổ sư)** là nam, tuổi trung niên, là các pháp sư nuôi dưỡng côn trùng độc của gia tộc Kim, có khả năng võ công, có vai trò trong gia tộc Kim.

[林家副首领] --> [Phó thủ lĩnh Lâm gia] <<>> [林家副首领] --> [Lâm Gia Phó Thủ Lĩnh] | **9. 林家副首领 (Lâm gia Phó thủ lĩnh)** là nam, tuổi trung niên, là phó thủ lĩnh của đoàn thương nhân, thuộc gia tộc Lâm, có khả năng võ công, có vai trò trong đoàn thương nhân.

[贾家首领] --> [Thủ lĩnh Giả gia] <<>> [贾家首领] --> [Cổ Gia Thủ Lĩnh] | **22. 贾家首领 (Giả gia Thủ lĩnh)** là nam, tuổi trung niên, là thủ lĩnh của đoàn thương nhân, có khả năng võ công, có vai trò trong đoàn thương nhân.

[欧家父子] --> [Cha con Âu gia] <<>> [欧家父子] --> [Âu Gia Phụ Tử] | **8. 欧家父子 (Âu Gia Phụ Tử)** là nam, đã chết, là những nhân vật phụ, là cha con nhà họ Âu, có thể là người đã bị Phương Nguyên giết.

[二代僵王] --> [Cương Vương đời thứ hai] <<>> [二代僵王] --> [Nhị Đại Cương Vương] | **12. 二代僵王 (Nhị Đại Kiương Vương)** là nam, đã chết, là một nhân vật quan trọng, là một thầy phù thủy cấp cao, có sức mạnh phi thường, là sư phụ của Phương Nguyên và Đinh Hạo.

[商睚眦] --> [Thương Ưởng] <<>> [商睚眦] --> [Thương Nhai 眦] | **20. 商睚眦 (Thương Nha Tị)** là nam, tuổi trẻ, là một trong những con trai của Thương Yên Phi, đang cạnh tranh vị trí tộc trưởng.

[萧炎] --> ["Tiêu Viêm!"] <<>> [萧炎] --> [Tiêu Viêm] | **5. 萧炎 (Tiêu Nghiêm)** là nam, tuổi trẻ, là một Cổ Sư cấp 3, bạn của Phương Nguyên, có tính cách thẳng thắn, cởi mở, có mối quan hệ tốt với Phương Nguyên.

[武姬娘娘] --> [Võ Cơ nương nương] <<>> [武姬娘娘] --> [Vũ Cơ Nương Nương] | **3. 武姬娘娘 (Vũ Cơ Nương Nương)** là nữ, tuổi trung niên, là tộc trưởng của gia tộc Vũ, có quyền lực cao, là người giao nhiệm vụ cho Vũ Nhiên, có khả năng điều khiển và sử dụng bùa chú.

[金边缘] --> [Ven kim] <<>> [金边缘] --> [Kim Biên Duyến] | **18. 金边缘 (Kim Biên Duyên)** là nam, là một trong những cao thủ của Tứ Thành, bị Phương Nguyên đánh bại.

[商负屃] --> [Thương Phụ Lam] <<>> [商负屃] --> [Thương Phụ 屃] | **6. 商负屃 (Thương Phúc Tị)** là nam, tuổi chưa rõ, là một trong những thiếu chủ của Thương gia, tính cách nho nhã, giỏi tính toán.

[商狻猊] --> [Thương Ưởng] <<>> [商狻猊] --> [Thương Toan Nghê] | **8. 商狻猊 (Thương Tuần Nê)** là nam, tuổi chưa rõ, là một trong những thiếu chủ của Thương gia, tính cách thô lỗ, có sức mạnh.

[商赑屃] --> [Thương Ưởng] <<>> [商赑屃] --> [Thương 赑 屃] | **9. 商赑屃 (Thương Phì Tị)** là nam, tuổi chưa rõ, là một trong những thiếu chủ của Thương gia, tính cách chất phác, là một lực đạo cừu sư.

[商螭吻] --> [Thương Lam Vẫn] <<>> [商螭吻] --> [Thương Li Vẫn] | **10. 商螭吻 (Thương Xỉ Vấn)** là nữ, tuổi chưa rõ, là một trong những thiếu chủ của Thương gia, tính cách hoạt bát, không có tham vọng.

[商貔貅] --> [Thương Ưởng] <<>> [商貔貅] --> [Thương Tì Hưu] | **11. 商貔貅 (Thương Bì Hưu)** là nam, tuổi chưa rõ, là một trong những thiếu chủ của Thương gia, tính cách ham chơi, có thiên phú xuất chúng.

[车有音] --> [Xe Hữu Âm] <<>> [车有音] --> [Xa Hữu Âm] | **13. 车有音 (Xa Hữu Âm)** là nam, tuổi trung niên, là gia lão của Xa gia, có thực lực mạnh mẽ, là đối thủ của Gia lão của Trác gia.

[左禅玉] --> [Tả Thiền Ngọc] <<>> [左禅玉] --> [Tả Thiện Ngọc] | **16. 左禅玉 (Tả Thiền Ngọc)** là nữ, khoảng 20 tuổi, là con gái của Gia lão của Trác gia, có thực lực mạnh mẽ.

[六转蛊仙] --> [Cổ tiên lục chuyển] <<>> [六转蛊仙] --> [Lục Chuyển Cổ Tiên] | * **六转蛊仙 (Lục Chuyển Cổ Tiên)** là nam, có thể là một người đã chết, từng sở hữu phúc địa.

[秘方大师] --> [Đại sư bí phương] <<>> [秘方大师] --> [Bí Phương Đại Sư] | * **秘方大师 (Bí Phương Đại Sư)** là nam, có thể là một người đã chết, từng sáng tạo ra bí phương luyện rượu trùng.

[商家的五大重臣家老] --> [Ngũ đại trọng thần gia lão của Thương gia] <<>> [商家的五大重臣家老] --> [Thương Gia Đích Ngũ Đại Trọng Thần Gia Lão] | * **商家的五大重臣家老 (Thương gia đích Ngũ Đại Trọng Thần Gia Lão)** là năm người, là những người có địa vị cao trong Thương gia.

[商家的太上家老] --> [Thái thượng gia lão của Thương gia] <<>> [商家的太上家老] --> [Thương Gia Đích Thái Thượng Gia Lão] | * **商家的太上家老 (Thương gia đích Thái Thượng Gia Lão)** là người có địa vị cao nhất trong Thương gia.

[萧家太上长老] --> [Thái thượng trưởng lão Tiêu gia] <<>> [萧家太上长老] --> [Tiêu Gia Thái Thượng Trường Lão] | * **萧家太上长老 (Tiêu gia Thái Thượng Trưởng Lão)** là nam, có thể là một người đã chết, là ông nội của Tiêu Phúc Lộc.

[卫家族长] --> [Tộc trưởng Vệ gia] <<>> [卫家族长] --> [Vệ Gia Tộc Trường] | * **卫家族长 (Vệ gia tộc trưởng)** là nam, là tộc trưởng của Vệ gia.

[熔岩鳄王] --> [Cá sấu dung nham Vương] <<>> [熔岩鳄王] --> [Dong Nham Ngạc Vương] | * **熔岩鳄王 (Dung Nham Ngoạc Vương)** là một con quái vật, là vua của loài cá sấu dung nham, có sức mạnh đáng kể.

[东淫陈淫道] --> [Đông Dâm Trần dâm] <<>> [东淫陈淫道] --> [Đông Dâm Trần Dâm Đạo], [西贱郁八光] --> [Tây Tiện Úc Bát Quang] <<>>  [西贱郁八光] --> [Tây Tiện Úc Bát Quang], [南骚施暴] --> [Nam Tao thi bạo] <<>>  [南骚施暴] --> [Nam Tao Thi Bạo], [北荡樊春耀] --> [Bắc Đãng Phàn Xuân Diệu] <<>>  [北荡樊春耀] --> [Bắc Đãng Phiền Xuân Diệu] | * **东淫陈淫道 (Đông Âm Trần Âm Đạo), 西贱郁八光 (Tây Tiện Uất Bát Quang), 南骚施暴 (Nam Sao Thi Bạo), 北荡樊春耀 (Bắc Đãng Phan Xuân Diệu)** là bốn nhân vật trong giới ma đạo, có biệt danh là "Tứ Đại Âm Tặc", có khả năng chiến đấu mạnh mẽ.

[横眉暴君] --> [Hoành Mi bạo quân] <<>> [横眉暴君] --> [Hoành My Bạo Quân] | * **横眉暴君 (Hoành Miểu Bạo Quân)** là nam, là thủ lĩnh của "Thập Bạo Quân", có khả năng chiến đấu ở cấp độ bốn chuyển trung giai, bị Phương Nguyên giết chết.

[孔日天] --> [Khổng Nhật Thiên] <<>> [孔日天] --> [Khổng Nhật Thiên], [龙青天] --> [Long Thanh Thiên] <<>>  [龙青天] --> [Long Thanh Thiên], [武神通] --> [Vũ Thần Thông] <<>>  [武神通] --> [Vũ Thần Thông], [翼冲] --> [Dực Xung] <<>>  [翼冲] --> [Dực Trùng] | * **孔日天 (Khổng Nhật Thiên), 龙青天 (Long Thanh Thiên), 武神通 (Vũ Thần Thông), 翼冲 (Dực Xung)** là những nhân vật có khả năng chiến đấu ở cấp độ bốn chuyển đỉnh phong, là những nhân vật mạnh nhất trong Tam Xoa Sơn.

[毛民] --> [Người Lông] <<>> [毛民] --> [Mao Dân] | **24. 毛民 (Mao Dân)** là một nhóm người, có thể là nam hoặc nữ, có đặc điểm là toàn thân phủ đầy lông.

[太日阳莽] --> [Thái Nhật Dương Mãng] <<>> [太日阳莽] --> [Thái Nhật Dương 莽] | **25. 太日阳莽 (Thái Nhật Dương Mãng)** là nam, là một nhân vật trong truyền thuyết, là con trai của Nhân Tổ.

[斑虎蜜蜂] --> [Ban Hổ ong mật] <<>> [斑虎蜜蜂] --> [Ban Hổ Mật Phong] | **27.  斑虎蜜蜂 (Ban Hổ Mật Phong)** là một nhóm ong, có kích thước lớn như báo hoa mai.

[神游蛊] --> [Cổ Thần Du] <<>> [神游蛊] --> [Thần Du Cổ] | **29.  神游蛊 (Thần Du Cổ)** là một loại cổ trùng.

[铁霸修] --> [Thiết Bá Tu] <<>> [铁霸修] --> [Thiết Phách Tu] | **5. 铁霸修 (Thiết Bá Tu)** là nam, bốn chuyển cao giai, là trưởng lão của gia tộc Thiết, có sức mạnh vượt trội, được mệnh danh là "Bá Vương Nhân Gian".

[暴火星包同] --> [Bạo Hỏa Tinh Bao] <<>> [暴火星包同] --> [Bạo Hỏa Tinh Bao Đồng] | **21. 暴火星包同 (Bạo Hỏa Tinh Bao Đồng)** là nam, tuổi không rõ, là một Cổ sư, là con nuôi của Bách Tuổi Đồng Tử.

[应生机] --> [Ứng Sinh Cơ] <<>> [应生机] --> [Ứng Sanh Ky] | **24.  应生机 (Ứng Sinh Cơ)** là nam, là một Cổ sư tài năng.

[白鹤上人] --> [Bạch Hạc thượng nhân] <<>> [白鹤上人] --> [Bạch Hạc Thượng Nhân], [寄魂蚤] --> [Ký Hồn Tảo] <<>>  [寄魂蚤] --> [Kí Hồn Tảo] | **26.  白鹤上人 (Bạch Hạc Thượng Nhân)** là nam, là một Cổ sư năm chuyển, linh hồn được cất giữ trong Cổ trùng "T寄魂蚤".

[铁铉之] --> [Thiết Tranh Chi] <<>> [铁铉之] --> [Thiết Huyễn Chi] | **9. 铁铉之 (Thiết Huyền Chi)** là nam, tuổi trung niên hoặc cao tuổi, là người đứng đầu Thiết Gia Tứ Lão, có tu vi tứ chuyển cao giai.

[鶴風揚] --> [Kuig] <<>> [鶴風揚] --> [Hạc Phong Dương] | **29. 鶴風揚 (Hạc Phong Dương)**

[万家蛊师] --> [Cổ sư Vạn gia] <<>> [万家蛊师] --> [Vạn Gia Cổ Sư] | **23. 万家蛊师 (Vạn gia côn trùng sư)** là một trong những nhân vật phụ, là người có khả năng luyện đạo, là người của Vạn gia.

[商家蛊师] --> [Cổ sư Thương gia] <<>> [商家蛊师] --> [Thương Gia Cổ Sư] | **24. 商家蛊师 (Thương gia côn trùng sư)** là một trong những nhân vật phụ, là người có khả năng luyện đạo, là người của Thương gia.

[灵缘斋] --> [Linh Duyên Trai] <<>> [灵缘斋] --> [Linh Duyến Trai] | **36. 灵缘斋 (Linh Duyên Trai)** là một trong những nhân vật phụ, là một tổ chức có khả năng luyện đạo.

[曾阿牛] --> [Tăng A Ngưu] <<>> [曾阿牛] --> [Tằng A Ngưu] | **4. 曾阿牛 (Tăng A Ngưu)** là nam, tuổi tác không rõ, là người từng có quan hệ với Cầu Cửu, bị Cầu Cửu phản bội.

